Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,branch-odpf,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1747887714483,22/05/2025 04:21,1747898514483,3,22/05/2025 10:21,226252,1,questionnaire-22js,,46385282,BLINDED,13475866,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.4.1,820x1180,820x1100,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1747893086689,22/05/2025 05:51,1747903886689,3,22/05/2025 11:51,226252,1,questionnaire-22js,,46385862,BLINDED,13475941,,complete,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4.1,393x852,393x649,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1747902324652,22/05/2025 08:25,1747913124652,3,22/05/2025 14:25,226252,1,questionnaire-22js,,46388081,BLINDED,13476294,,complete,,,mobile,Apple iPhone,iOS 17.6.1,Mobile Safari 17.6,390x844,390x664,,,0,Debrief Efremova,2,consent,M,,,,,info,,BEGIN,,,,,
1,1747902030376,22/05/2025 08:20,1747912830376,3,22/05/2025 14:20,226252,1,questionnaire-22js,,46387948,BLINDED,13476363,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 25.4.0.0,2560x1440,1278x943,,,0,Debrief Efremova,2,consent,M,,,,,info,,BEGIN,,,,,
1,1747915225672,22/05/2025 12:00,1747926025672,3,22/05/2025 18:00,226252,1,questionnaire-22js,,46393666,BLINDED,13476488,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.3,1470x956,1470x839,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1747911123811,22/05/2025 10:52,1747921923811,3,22/05/2025 16:52,226252,1,questionnaire-22js,,46391767,BLINDED,13477036,,complete,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4.1,390x844,390x648,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1747912705664,22/05/2025 11:18,1747923505664,3,22/05/2025 17:18,226252,1,questionnaire-22js,,46392460,BLINDED,13477329,,complete,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4.1,390x844,390x648,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1747917413060,22/05/2025 12:36,1747928213060,3,22/05/2025 18:36,226252,1,questionnaire-22js,,46394583,BLINDED,13478631,,complete,,,tablet,undefined K,Android 14,Chrome 136.0.7103.60,1318x825,1317x696,,,0,Debrief Efremova,2,consent,M,,,,,info,,BEGIN,,,,,
1,1747920674407,22/05/2025 13:31,1747931474407,3,22/05/2025 19:31,226252,1,questionnaire-22js,,46395704,BLINDED,13478931,,complete,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4,428x926,428x745,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
1,1747929236734,22/05/2025 15:53,1747936436734,2,22/05/2025 19:53,226252,1,questionnaire-22js,,46400030,BLINDED,13479551,,complete,,,mobile,Apple iPhone,iOS 18.4,Mobile Safari 18.4,393x852,393x649,,,0,Debrief Efremova,2,consent,F,,,,,info,,BEGIN,,,,,
