Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,branch-odpf,Consent object-7 Response,Consent object-7 Quantised
1,1746535792196,06/05/2025 12:49,1746546592196,3,06/05/2025 18:49,226252,1,questionnaire-qxa3,,45897765,BLINDED,13356342,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1920x1080,1912x962,,,0,Consent form Efremova,4,consent,M,Я согласен(-на).,1
1,1746536195376,06/05/2025 12:56,1746546995376,3,06/05/2025 18:56,226252,1,questionnaire-qxa3,,45898239,BLINDED,13356431,,live,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4.1,390x844,390x648,,,0,Consent form Efremova,4,consent,,Я согласен(-на).,1
1,1746548196299,06/05/2025 16:16,1746558996299,3,06/05/2025 22:16,226252,1,questionnaire-qxa3,,45905913,BLINDED,13358465,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1800x1169,1800x948,,,0,Consent form Efremova,4,consent,M,Я согласен(-на).,1
1,1746548298951,06/05/2025 16:18,1746559098951,3,06/05/2025 22:18,226252,1,questionnaire-qxa3,,45905965,BLINDED,13358478,,complete,,,mobile,undefined K,Android 14,Chrome 136.0.7103.60,393x873,392x739,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
1,1746550164863,06/05/2025 16:49,1746560964863,3,06/05/2025 22:49,226252,1,questionnaire-qxa3,,45906650,BLINDED,13358639,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1440x900,1440x788,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
1,1746550634139,06/05/2025 16:57,1746561434139,3,06/05/2025 22:57,226252,1,questionnaire-qxa3,,45906912,BLINDED,13358709,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1920x1080,1920x953,,,0,Consent form Efremova,4,consent,,Я согласен(-на).,1
1,1746607871877,07/05/2025 08:51,1746618671877,3,07/05/2025 14:51,226252,1,questionnaire-qxa3,,45922439,BLINDED,13362892,,live,,,computer,Desktop or Laptop,Windows 10,Yandex 25.4.0.0,1920x1080,1920x964,,,0,Consent form Efremova,4,consent,,Я согласен(-на).,1
1,1746631919556,07/05/2025 15:31,1746657119556,7,08/05/2025 05:31,226252,1,questionnaire-qxa3,,45952973,BLINDED,13369186,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1536x864,1536x730,,,0,Consent form Efremova,4,consent,M,Я согласен(-на).,1
1,1746653721504,07/05/2025 21:35,1746664521504,3,08/05/2025 03:35,226252,1,questionnaire-qxa3,,45967911,BLINDED,13372674,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.1,390x844,390x663,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
1,1746653730771,07/05/2025 21:35,1746664530771,3,08/05/2025 03:35,226252,1,questionnaire-qxa3,,45967913,BLINDED,13372676,,live,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4,440x956,440x760,,,0,Consent form Efremova,4,consent,M,Я согласен(-на).,1
1,1746653816558,07/05/2025 21:36,1746664616558,3,08/05/2025 03:36,226252,1,questionnaire-qxa3,,45967943,BLINDED,13372690,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 25.4.0.0,1920x1080,1920x964,,,0,Consent form Efremova,4,consent,M,Я согласен(-на).,1
1,1746698791262,08/05/2025 10:06,1746709591262,3,08/05/2025 16:06,226252,1,questionnaire-qxa3,,45979801,BLINDED,13376184,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 25.2.0.0,1920x1080,1872x940,,,0,Consent form Efremova,4,consent,M,Я согласен(-на).,1
