Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,branch-odpf,Dictator_decision object-100 Response,Dictator_decision object-100 Quantised
1,1747744170857,20/05/2025 12:29,1747754970857,3,20/05/2025 18:29,226252,1,questionnaire-3zyp,,46333720,BLINDED,13462688,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.3,1440x900,1440x732,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1747757793865,20/05/2025 16:16,1747768593865,3,20/05/2025 22:16,226252,1,questionnaire-3zyp,,46340486,BLINDED,13465107,,live,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4.1,428x926,428x730,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,,2,3
1,1747758549499,20/05/2025 16:29,1747769349499,3,20/05/2025 22:29,226252,1,questionnaire-3zyp,,46340734,BLINDED,13465270,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1311x874,1311x747,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,M,4,5
1,1747764053695,20/05/2025 18:00,1747774853695,3,21/05/2025 00:00,226252,1,questionnaire-3zyp,,46342522,BLINDED,13465804,,live,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4,390x844,390x663,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1747766237659,20/05/2025 18:37,1747777037659,3,21/05/2025 00:37,226252,1,questionnaire-3zyp,,46343772,BLINDED,13466038,,complete,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4,393x852,393x659,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1747770459401,20/05/2025 19:47,1747781259401,3,21/05/2025 01:47,226252,1,questionnaire-3zyp,,46349240,BLINDED,13466128,,live,,,mobile,Apple iPhone,iOS 18.1.1,Mobile Safari 18.1.1,414x896,414x699,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1747773335667,20/05/2025 20:35,1747784135667,3,21/05/2025 02:35,226252,1,questionnaire-3zyp,,46352850,BLINDED,13467525,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5.1,393x852,393x649,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1747812107857,21/05/2025 07:21,1747822907857,3,21/05/2025 13:21,226252,1,questionnaire-3zyp,,46360901,BLINDED,13469335,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.1,440x956,440x757,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,0,1
1,1747841890968,21/05/2025 15:38,1747852690968,3,21/05/2025 21:38,226252,1,questionnaire-3zyp,,46375904,BLINDED,13473354,,live,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4.1,393x852,393x649,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,2,3
1,1747849199077,21/05/2025 17:39,1747859999077,3,21/05/2025 23:39,226252,1,questionnaire-3zyp,,46378788,BLINDED,13473757,,complete,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4.1,402x874,402x671,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1747845465583,21/05/2025 16:37,1747856265583,3,21/05/2025 22:37,226252,1,questionnaire-3zyp,,46377599,BLINDED,13473856,,complete,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4.1,430x932,430x729,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1747850811528,21/05/2025 18:06,1747861611528,3,22/05/2025 00:06,226252,1,questionnaire-3zyp,,46379181,BLINDED,13474358,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,1470x956,1470x840,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,,
1,1747854609451,21/05/2025 19:10,1747865409451,3,22/05/2025 01:10,226252,1,questionnaire-3zyp,,46380180,BLINDED,13474635,,complete,,,mobile,Apple iPhone,iOS 18.1.1,Mobile Safari 18.1.1,390x844,390x648,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1747855438069,21/05/2025 19:23,1747866238069,3,22/05/2025 01:23,226252,1,questionnaire-3zyp,,46380444,BLINDED,13474683,,complete,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4.1,428x926,428x730,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,2,3
1,1747857418396,21/05/2025 19:56,1747868218396,3,22/05/2025 01:56,226252,1,questionnaire-3zyp,,46380933,BLINDED,13474737,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5.1,428x926,428x730,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,M,4,5
1,1747861209051,21/05/2025 21:00,1747872009051,3,22/05/2025 03:00,226252,1,questionnaire-3zyp,,46381972,BLINDED,13474789,,complete,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4.1,390x844,390x648,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,M,4,5
1,1747857246203,21/05/2025 19:54,1747868046203,3,22/05/2025 01:54,226252,1,questionnaire-3zyp,,46380885,BLINDED,13474823,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.1,440x956,440x758,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1747866380910,21/05/2025 22:26,1747877180910,3,22/05/2025 04:26,226252,1,questionnaire-3zyp,,46383387,BLINDED,13475377,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.3.1,1470x956,1027x777,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,M,5,6
1,1747874652064,22/05/2025 00:44,1747885452064,3,22/05/2025 06:44,226252,1,questionnaire-3zyp,,46384312,BLINDED,13475661,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,430x932,430x739,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,M,5,6
1,1747887223851,22/05/2025 04:13,1747898023851,3,22/05/2025 10:13,226252,1,questionnaire-3zyp,,46385265,BLINDED,13475866,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.4.1,820x1180,820x1100,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,10,11
1,1747891744688,22/05/2025 05:29,1747902544688,3,22/05/2025 11:29,226252,1,questionnaire-3zyp,,46385765,BLINDED,13475941,,complete,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4.1,393x852,393x649,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1747900325554,22/05/2025 07:52,1747911125554,3,22/05/2025 13:52,226252,1,questionnaire-3zyp,,46387500,BLINDED,13476294,,complete,,,mobile,Apple iPhone,iOS 17.6.1,Mobile Safari 17.6,390x844,390x664,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,M,5,6
1,1747900910195,22/05/2025 08:01,1747911710195,3,22/05/2025 14:01,226252,1,questionnaire-3zyp,,46387609,BLINDED,13476363,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 25.4.0.0,2560x1440,1278x943,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,M,0,1
1,1747903092485,22/05/2025 08:38,1747913892485,3,22/05/2025 14:38,226252,1,questionnaire-3zyp,,46388301,BLINDED,13476488,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.3,1470x956,1470x839,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,0,1
1,1747909115358,22/05/2025 10:18,1747919915358,3,22/05/2025 16:18,226252,1,questionnaire-3zyp,,46391023,BLINDED,13477036,,complete,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4.1,390x844,390x648,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1747912397021,22/05/2025 11:13,1747923197021,3,22/05/2025 17:13,226252,1,questionnaire-3zyp,,46392339,BLINDED,13477327,,live,,,mobile,Apple iPhone,iOS 17.6.1,Mobile Safari 17.6.1,390x844,390x648,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1747911815703,22/05/2025 11:03,1747922615703,3,22/05/2025 17:03,226252,1,questionnaire-3zyp,,46392055,BLINDED,13477329,,complete,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4.1,390x844,390x648,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1747916459792,22/05/2025 12:20,1747927259792,3,22/05/2025 18:20,226252,1,questionnaire-3zyp,,46394266,BLINDED,13478631,,complete,,,tablet,undefined K,Android 14,Chrome 136.0.7103.60,1318x825,1317x696,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,M,4,5
1,1747919558378,22/05/2025 13:12,1747930358378,3,22/05/2025 19:12,226252,1,questionnaire-3zyp,,46395296,BLINDED,13478931,,complete,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4,428x926,428x745,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,6,7
1,1747927506525,22/05/2025 15:25,1747934706525,2,22/05/2025 19:25,226252,1,questionnaire-3zyp,,46399395,BLINDED,13479551,,complete,,,mobile,Apple iPhone,iOS 18.4,Mobile Safari 18.4,393x852,393x649,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1748002733381,23/05/2025 12:18,1748013533381,3,23/05/2025 18:18,226252,1,questionnaire-3zyp,,46426358,BLINDED,13487776,,live,,,mobile,Apple iPhone,iOS 17.6.1,Mobile Safari 17.6.1,430x932,430x729,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,,5,6
