Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,branch-odpf,Consent object-7 Response,Consent object-7 Quantised
1,1745752225573,27/04/2025 11:10,1745770225573,5,27/04/2025 21:10,209889,4,questionnaire-qxa3,,45678403,BLINDED,13288571,,live,,,mobile,Huawei ANE-LX1,Android 9,Yandex 25.20.1,360x760,360x579,,,0,Consent form Efremova,4,consent,,Я согласен(-на).,1
1,1745752223763,27/04/2025 11:10,1745770223763,5,27/04/2025 21:10,209889,4,questionnaire-qxa3,,45678404,BLINDED,13288572,,live,,,computer,Desktop or Laptop,Windows 10,Yandex 25.2.0.0,1536x864,1488x748,,,0,Consent form Efremova,4,consent,,Я согласен(-на).,1
1,1745752400592,27/04/2025 11:13,1745763200592,3,27/04/2025 17:13,209889,4,questionnaire-qxa3,,45678405,BLINDED,13288573,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1536x864,1522x738,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
1,1745752226269,27/04/2025 11:10,1745763026269,3,27/04/2025 17:10,209889,4,questionnaire-qxa3,,45678407,BLINDED,13288575,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 25.2.0.0,1920x1080,1872x964,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
1,1745752227376,27/04/2025 11:10,1745763027376,3,27/04/2025 17:10,209889,4,questionnaire-qxa3,,45678408,BLINDED,13288576,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 25.2.0.0,1366x768,1318x652,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
1,1745752231217,27/04/2025 11:10,1745763031217,3,27/04/2025 17:10,209889,4,questionnaire-qxa3,,45678412,BLINDED,13288578,,live,,,mobile,undefined K,Android 10,Chrome 135.0.0.0,407x904,406x766,,,0,Consent form Efremova,4,consent,,Я согласен(-на).,1
1,1745752268899,27/04/2025 11:11,1745781068899,8,28/04/2025 03:11,209889,4,questionnaire-qxa3,,45678413,BLINDED,13288579,,complete,,,mobile,Xiaomi MI 8 Lite,Android 10,Yandex 25.20.1,393x830,393x644,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
1,1745752228817,27/04/2025 11:10,1745770228817,5,27/04/2025 21:10,209889,4,questionnaire-qxa3,,45678414,BLINDED,13288580,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1920x1080,1912x962,,,0,Consent form Efremova,4,consent,F,Я согласен(-на).,1
1,1745752231655,27/04/2025 11:10,1745763031655,3,27/04/2025 17:10,209889,4,questionnaire-qxa3,,45678415,BLINDED,13288581,,complete,,,mobile,undefined K,Android 10,Chrome 135.0.0.0,360x780,360x661,,,0,Consent form Efremova,4,consent,M,Я согласен(-на).,1
1,1745752229595,27/04/2025 11:10,1745777429595,7,28/04/2025 01:10,209889,4,questionnaire-qxa3,,45678417,BLINDED,13288582,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1920x1080,1920x955,,,0,Consent form Efremova,4,consent,,Я согласен(-на).,1
