"","country_res_full","D_self_norm_mean_country","D_other_norm_mean_country","H_self_norm_mean_country","H_other_norm_mean_country","F_self_norm_mean_country","F_other_norm_mean_country","D_norm_mean_country","H_norm_mean_country","F_norm_mean_country","D_self_normc_mean_country","D_other_normc_mean_country","H_self_normc_mean_country","H_other_normc_mean_country","F_self_normc_mean_country","F_other_normc_mean_country","D_normc_mean_country","H_normc_mean_country","F_normc_mean_country"
"11","Chile",4.46629834254144,4.30331491712707,4.51933701657459,4.74972375690608,4.68908839779006,4.10386740331492,4.38480662983425,4.63453038674033,4.39619398403929,-0.00555661395821433,-0.168540039372579,0.0474820600749348,0.277868800406427,0.217233441290405,-0.367987553184734,-0.0870483266653965,0.162675430240681,-0.0756609724603628
"12","China",4.33002754820937,4.7989010989011,3.94876033057851,4.85399449035813,4.79393939393939,4.28044077134986,4.56263736263736,4.40116314661769,4.53719008264463,-0.171786833855799,0.301212580522925,-0.553054051486653,0.352180108292961,0.292125011874228,-0.221373610715304,0.064948844259189,-0.100651235447474,0.0353757005794624
"13","Croatia",4.05789865871833,3.68716417910448,4.56959761549926,4.75529061102832,4.48440298507463,4.01432835820895,3.87196555721146,4.66244411326379,4.24925373134328,-0.20244837130083,-0.575561478322672,0.309250585480094,0.494943581009155,0.221677327647477,-0.248397299218195,-0.388381472807702,0.402097083244624,-0.0134719260838664
"14","Czech Republic",4.18923076923077,3.80615384615385,4.35192307692308,4.55435897435897,4.39435897435897,3.98717948717949,3.99769230769231,4.45339031339031,4.19076923076923,-0.0247244326554671,-0.40780135573239,0.137967875036841,0.340403772472738,0.180403772472738,-0.226775714706749,-0.216262894193929,0.239435111504077,-0.0231859711170057
"15","Ethiopia",4.73198653198653,4.95369127516779,4.04295302013423,4.78653198653199,4.89563758389262,4.60589225589226,4.84328859060403,4.41006711409396,4.75142617449664,0.0613756613756613,0.285330776605944,-0.625407478427613,0.115921115921116,0.227277085330777,-0.0647186147186147,0.174928092042186,-0.258293384467881,0.0830656759348034
"16","France",4.38988505747126,4.31264367816092,4.48,4.61195402298851,4.49793103448276,4.25057471264368,4.35126436781609,4.54597701149425,4.37425287356322,-0.0339463601532567,-0.111187739463601,0.0561685823754789,0.188122605363985,0.0740996168582375,-0.173256704980843,-0.0725670498084291,0.122145593869732,-0.0495785440613027
"17","Georgia",3.99020979020979,3.75454545454545,4.61188811188811,5.02657342657343,4.77902097902098,4.38076923076923,3.87237762237762,4.81961926961927,4.58018648018648,-0.433799533799534,-0.66946386946387,0.187878787878788,0.602564102564103,0.355011655011655,-0.0432400932400932,-0.551631701631702,0.395609945609946,0.156177156177156
"18","Germany",4.50716332378224,4.50601719197708,4.02263610315186,4.33610315186246,4.34813753581662,3.85988538681948,4.50659025787966,4.17936962750716,4.10401146131805,0.243839541547278,0.24269340974212,-0.240687679083095,0.0727793696275072,0.084813753581662,-0.403438395415473,0.243266475644699,-0.0839541547277937,-0.159312320916905
"19","Ghana",4.68387096774194,4.86451612903226,4.31612903225806,5.00161290322581,4.88145161290323,4.67741935483871,4.7741935483871,4.65913978494624,4.77939068100358,-0.0536151279199111,0.127030033370412,-0.421357063403782,0.26412680756396,0.143965517241379,-0.0600667408231368,0.0367074527252503,-0.0783463107156099,0.0419045853417377
"20","Greece",4.06349206349206,3.71655328798186,4.6766439909297,4.73197278911565,4.36780045351474,4.0421768707483,3.89002267573696,4.70430839002268,4.20498866213152,-0.202947845804989,-0.549886621315193,0.410204081632653,0.465532879818594,0.101360544217687,-0.224263038548753,-0.376417233560091,0.437868480725624,-0.0614512471655329
"21","Hong Kong",4.16923076923077,4.29230769230769,4.20659340659341,4.78241758241758,5.01318681318681,4.71868131868132,4.23076923076923,4.49450549450549,4.86593406593407,-0.361172161172161,-0.238095238095238,-0.323809523809524,0.252014652014652,0.482783882783883,0.188278388278388,-0.2996336996337,-0.035897435897436,0.335531135531136
"22","Hungary",3.85454545454545,3.34306220095694,4.56315789473684,4.46315789473684,4.35023923444976,3.92727272727273,3.59861775651249,4.51315789473684,4.13875598086124,-0.228947368421053,-0.740430622009569,0.479665071770335,0.379665071770335,0.266746411483254,-0.15622009569378,-0.484875066454014,0.429665071770335,0.0552631578947369
"23","India",3.90880829015544,3.83979328165375,4.62909090909091,5.06285714285714,4.83720930232558,4.70298701298701,3.87312661498708,4.84597402597403,4.7710020097617,-0.586841164909773,-0.654575425465562,0.131288251977907,0.565054485744141,0.342840595206273,0.205184355874011,-0.621242092132229,0.348171368861024,0.276633302642391
"24","Indonesia",4.60794223826715,4.86209386281588,4.30974729241877,5.04765342960289,4.99837545126354,4.54079422382671,4.73501805054152,4.67870036101083,4.76963497793823,-0.119776754222167,0.13437487032657,-0.417971700070542,0.319934437113573,0.270656458774223,-0.1869247686626,0.00729905805220146,-0.0490186314784846,0.0419159854489121
"25","Iran",3.76745406824147,3.29291338582677,4.57973684210526,4.85565789473684,4.64842105263158,4.36631578947368,3.52970982793817,4.71880116959064,4.50718567251462,-0.486366096000452,-0.96090677841515,0.329196098483757,0.605117151115336,0.397880309010073,0.115775045852178,-0.724110336303747,0.468260425969137,0.256644928893114
"26","Ireland",4.14794520547945,4.05479452054795,4.29315068493151,4.57260273972603,4.35068493150685,4.04657534246575,4.1013698630137,4.43287671232877,4.1986301369863,-0.0963470319634703,-0.189497716894977,0.0488584474885845,0.328310502283105,0.106392694063927,-0.197716894977169,-0.142922374429224,0.188584474885845,-0.045662100456621
"27","Israel",4.44144144144144,4.0036036036036,4.42432432432432,4.5445945945946,4.1536036036036,3.58063063063063,4.22252252252252,4.48450950950951,3.86711711711712,0.250044009526768,-0.18779382831107,0.232926892409651,0.353197162679921,-0.0377938283110697,-0.610766801284043,0.0311250906078492,0.293112077594836,-0.324280314797556
"28","Italy",4.18551236749117,3.89646643109541,4.5243816254417,4.67358657243816,4.5178445229682,4.10989399293286,4.04098939929329,4.59848841774637,4.31386925795053,-0.132262093334958,-0.421308029730718,0.206607164615572,0.355812111612039,0.200070062142074,-0.207880467893262,-0.276785061532838,0.280713956920244,-0.00390520287559412
"29","Japan",3.70566037735849,4.41509433962264,3.90566037735849,4.61745283018868,4.92877358490566,4.55518867924528,4.06037735849057,4.26155660377358,4.74198113207547,-0.648977987421384,0.0604559748427673,-0.448977987421384,0.262814465408805,0.574135220125786,0.200550314465409,-0.294261006289308,-0.0930817610062893,0.387342767295597
"30","Kazakhstan",4.21935483870968,4.00430107526882,4.4989247311828,4.81505376344086,4.45322580645161,4.02365591397849,4.11230585424134,4.65698924731183,4.23835125448029,-0.116635768137437,-0.331689531578297,0.162934124335682,0.479063156593746,0.117235199604499,-0.31233469286862,-0.223684752605776,0.320998640464714,-0.0976393523668273
"31","Kenya",4.60456939281289,4.69793621013133,4.19746105919003,4.60665708812261,4.47875968992248,4.37540437678402,4.65580919653085,4.38616711744939,4.43275756085567,0.109959727385378,0.203189493433396,-0.29309968847352,0.118342911877395,-0.00607751937984507,-0.105756422454805,0.166118474881362,-0.100579870502418,-0.0563990656503566
"32","Kosovo",4.76256038647343,4.62173913043478,4.55024154589372,4.85748792270531,4.6304347826087,4.03478260869565,4.69214975845411,4.70386473429952,4.33024307951844,0.187179822787019,0.0463585667483719,-0.0251390177926909,0.282107359018903,0.0550542189222849,-0.540597954990759,0.116769194767696,0.128484170613106,-0.245137484167969
"33","Kuwait",4.05777777777778,4.00111111111111,4.73777777777778,5.09333333333333,4.84555555555556,4.51555555555556,4.02944444444444,4.91555555555556,4.68055555555556,-0.484074074074074,-0.540740740740741,0.195925925925926,0.551481481481481,0.303703703703704,-0.0262962962962963,-0.512407407407407,0.373703703703704,0.138703703703704
"34","Lebanon",3.27816091954023,3.82528735632184,4.82528735632184,5.34942528735632,5.04597701149425,4.77701149425287,3.55172413793103,5.08735632183908,4.91149425287356,-1.23869731800766,-0.691570881226054,0.308429118773946,0.832567049808429,0.52911877394636,0.260153256704981,-0.965134099616858,0.570498084291188,0.39463601532567
"35","Malaysia",4.16077170418006,4.18520900321543,4.191961414791,4.65980707395498,4.7048231511254,4.50739549839228,4.17299035369775,4.42597356198642,4.60610932475884,-0.24093210629412,-0.21649480725875,-0.209742395683187,0.2581032634808,0.303119340651218,0.105691687918099,-0.228713456776435,0.0242697515122396,0.204405514284658
"36","Mexico",4.65142857142857,4.65857142857143,4.34714285714286,4.58,4.52857142857143,4.04428571428571,4.655,4.46301587301587,4.28642857142857,0.183095238095238,0.190238095238095,-0.121190476190476,0.111666666666667,0.0602380952380952,-0.424047619047619,0.186666666666667,-0.00531746031746031,-0.181904761904762
"37","Morocco",4.49511494252874,4.63908045977012,4.40459770114943,4.97931034482759,4.53879310344828,4.26171428571429,4.56704980842912,4.69195402298851,4.40146031746032,-0.0572631787554498,0.0867023384859294,-0.14778042013476,0.426932223543401,-0.0135850178359096,-0.293221674876847,0.0146716871449332,0.13957590170432,-0.153475643130816
"38","Namibia",4.648264781491,4.77442602040816,4.3263906581741,4.60418792517007,4.46014957264957,4.48282694848085,4.71782164700743,4.46590126291619,4.45926685255044,0.105077120822622,0.226466836734694,-0.227112526539278,0.0577593537414965,-0.0922863247863247,-0.0586525759577279,0.170344582787243,-0.0817451205510907,-0.0892980154174184
"39","New Zealand",4.43318777292576,4.31528384279476,4.24541484716157,4.52314410480349,4.58689956331878,4.17554585152838,4.37423580786026,4.38427947598253,4.38122270742358,0.0532751091703056,-0.0646288209606988,-0.134497816593886,0.143231441048035,0.206986899563319,-0.204366812227074,-0.00567685589519646,0.00436681222707427,0.0013100436681222
"40","Nigeria",4.75359342915811,4.58891170431211,4.64229979466119,4.96262833675565,4.99260780287474,4.75154004106776,4.67116130504221,4.80239561943874,4.87207392197125,-0.0281710347524976,-0.192852759598494,-0.139464669249418,0.180863872845038,0.210843338964135,-0.0302244228428466,-0.1106031588684,0.020631155528132,0.090309458060644
"41","North Macedonia",4.11858974358974,4.01410256410256,4.56474358974359,4.90128205128205,4.70769230769231,4.15384615384615,4.06634615384615,4.73301282051282,4.43076923076923,-0.291452991452991,-0.395940170940171,0.154700854700855,0.491239316239316,0.297649572649573,-0.256196581196581,-0.343696581196581,0.322970085470085,0.0207264957264958
"42","Pakistan",4.08924485125858,3.98993135011442,4.6649885583524,5.0466819221968,4.82379862700229,4.60869565217391,4.0395881006865,4.8558352402746,4.7162471395881,-0.447978642257818,-0.547292143401983,0.127765064836003,0.509458428680397,0.286575133485889,0.0714721586575134,-0.497635392829901,0.3186117467582,0.179023646071701
"43","Philippines",4.56416083916084,4.5818553092182,4.69585764294049,5.07444574095683,5.08273045507585,4.81172695449242,4.57384097384097,4.88577077661092,4.94669127169127,-0.23762599469496,-0.220089191110396,-0.106086857388109,0.272501240628227,0.280785954747247,0.00900454673480048,-0.227945860014826,0.0838262762823179,0.144904437835472
"44","Poland",3.9854103343465,3.58723404255319,4.53586626139818,4.75866261398176,4.48926038500507,4.04427558257346,3.78632218844985,4.64726443768997,4.26676798378926,-0.247798655245464,-0.645974947038777,0.302657271806208,0.525453624389795,0.256051395413098,-0.188933407018513,-0.44688680114212,0.414055448098001,0.033558994197292
"45","Portugal",4.38791540785498,4.24894259818731,4.46646525679758,4.75045317220544,4.7178247734139,4.30876132930514,4.31842900302115,4.60845921450151,4.51329305135952,-0.0921450151057402,-0.231117824773414,-0.013595166163142,0.270392749244713,0.237764350453172,-0.171299093655589,-0.161631419939577,0.128398791540785,0.0332326283987915
"46","Romania",3.83849372384937,3.63723849372385,4.5347280334728,4.64853556485356,4.54853556485356,4.15020920502092,3.73786610878661,4.59163179916318,4.34937238493724,-0.387796373779637,-0.58905160390516,0.308437935843794,0.422245467224547,0.322245467224547,-0.0760808926080893,-0.488423988842399,0.36534170153417,0.123082287308229
"47","Russia",4.0694623655914,3.90290322580645,4.42306451612903,4.8258064516129,4.69069892473118,4.30215053763441,3.98621607782898,4.62415770609319,4.49653225806452,-0.299419990465597,-0.465979130250543,0.0541821600720377,0.456924095555909,0.321816568674188,-0.066731818422586,-0.382666278228013,0.255275350036195,0.127649902007522
"48","Saudi Arabia",4.28079470198676,4.36158940397351,4.81324503311258,5.2728476821192,4.91523178807947,4.54900662251656,4.32119205298013,5.04304635761589,4.73208241353937,-0.418139605693842,-0.337344903707087,0.114310725431986,0.573913374438608,0.216297480398873,-0.14992768516404,-0.377742254700464,0.344112049935297,0.0331481058587704
"49","Serbia",4.11653543307087,3.57361477572559,4.76200527704485,4.91102362204724,4.48582677165354,3.97150395778364,3.84750656167979,4.83799941673957,4.22677165354331,-0.187374423024708,-0.730315712855973,0.458074788463288,0.60711376595167,0.181916915557969,-0.332426530797926,-0.456403294415784,0.534089560644,-0.077138202552267
"50","Singapore",4.40581039755352,4.5308868501529,4.51009174311927,4.78593272171254,4.96452599388379,4.64587155963303,4.46843357118586,4.6480122324159,4.80519877675841,-0.234746388273753,-0.109669935674365,-0.130465042708004,0.145375935885268,0.323969208056522,0.00531477380575773,-0.172123214641405,0.00745544658863237,0.16464199093114
"51","Slovakia",4.10656934306569,3.76423357664234,4.47591240875912,4.78905109489051,4.52481751824818,4.16843065693431,3.93540145985401,4.63248175182482,4.34679643146796,-0.19830942193137,-0.540645188354728,0.17103364376206,0.484172329893447,0.219938753251112,-0.136448108062757,-0.369477305143049,0.327602986827754,0.0419176664709008
"52","South Africa",4.61102661596958,4.6844557390936,4.25350427350427,4.62432318104907,4.51997016197783,4.23331204767986,4.63826708797605,4.42326106594399,4.37793669272133,0.122407237445916,0.193959310052724,-0.23511199528441,0.148281696715094,0.0460306611400182,-0.241043877805669,0.156636483022417,-0.057018480693838,-0.102646182313799
"53","Spain",4.60704225352113,4.40739436619718,4.32629107981221,4.60657276995305,4.45070422535211,3.96537558685446,4.50721830985916,4.46653625456442,4.20808555033907,0.213113161728995,0.0134652744050508,-0.0676380119799256,0.21264367816092,0.0567751335599806,-0.428553504937672,0.113289218067023,0.0726071627722914,-0.185843541453061
"54","Switzerland",4.26153846153846,4.34285714285714,4.13846153846154,4.47252747252747,4.8043956043956,4.37802197802198,4.3021978021978,4.3054945054945,4.59120879120879,-0.138095238095238,-0.0567765567765568,-0.261172161172161,0.072893772893773,0.404761904761905,-0.0216117216117217,-0.0974358974358974,-0.0941391941391942,0.191575091575092
