"","country_res_full","D_self_end_mean_country","D_self_end_sd_country","D_other_end_mean_country","D_other_end_sd_country","H_self_end_mean_country","H_self_end_sd_country","H_other_end_mean_country","H_other_end_sd_country","F_self_end_mean_country","F_self_end_sd_country","F_other_end_mean_country","F_other_end_sd_country","D_end_mean_country","D_end_sd_country","H_end_mean_country","H_end_sd_country","F_end_mean_country","F_end_sd_country","D_self_endc_mean_country","D_self_endc_sd_country","D_other_endc_mean_country","D_other_endc_sd_country","H_self_endc_mean_country","H_self_endc_sd_country","H_other_endc_mean_country","H_other_endc_sd_country","F_self_endc_mean_country","F_self_endc_sd_country","F_other_endc_mean_country","F_other_endc_sd_country","D_endc_mean_country","D_endc_sd_country","H_endc_mean_country","H_endc_sd_country","F_endc_mean_country","F_endc_sd_country"
"11","Chile",5.12947658402204,0.731218993866827,5.47603305785124,0.676155625461614,3.38842975206612,0.887717610017098,4.01487603305785,1.03843229352527,3.95867768595041,0.921655017027688,3.19173553719008,0.893090738944125,5.30275482093664,0.585782861876422,3.70159167431895,0.867724274605542,3.57520661157025,0.825185161716077,0.936319305911782,0.646665685089366,1.28287577974098,0.692032705729575,-0.80472752604414,0.553838375295956,-0.178281245052405,0.632693012248643,-0.234479592159843,0.578309002241357,-1.00142174092017,0.577791592514427,1.10959754282638,0.543829591771521,-0.491565603791309,0.416449699642784,-0.617950666540008,0.437656537873281
"12","China",4.66758241758242,0.704760421804316,5.12403846153846,0.713046781084704,3.48406593406593,0.707511026338131,4.60453296703297,0.720680388279491,4.5510989010989,0.659011615793572,3.63406593406593,0.689587217163996,4.89566544566545,0.619577275682919,4.04404761904762,0.593401614030975,4.09258241758242,0.595737782573276,0.323515851964128,0.566334455014131,0.779971895920172,0.5778307820871,-0.860000631552356,0.569816126385276,0.260466401414677,0.462359470539646,0.207032335480611,0.413352131963447,-0.710000631552356,0.51466041153577,0.551598880047156,0.45672335413519,-0.300018946570671,0.333166669774759,-0.251484148035872,0.343304162183262
"13","Croatia",5.05067064083457,0.618371957585236,5.06527570789866,0.71668903308224,3.75380029806259,0.775874864160279,4.5478390461997,0.738346646955298,4.14485842026826,0.744411779753458,3.43368107302534,0.799102862403168,5.05797317436662,0.561015661469126,4.15081967213115,0.650828460766563,3.7892697466468,0.666403515175747,0.717983109786388,0.56395415087701,0.732588176850472,0.676257706331279,-0.578887232985594,0.613963839099936,0.215151515151515,0.470052330519492,-0.18782911077993,0.508158226041443,-0.899006458022852,0.5975563891941,0.72528564331843,0.504390159709216,-0.181867858917039,0.385952447803365,-0.543417784401391,0.394189946916974
"14","Czech Republic",4.94168797953964,0.625669868576777,5.03375959079284,0.645843462421547,3.46086956521739,0.743159064913869,4.10230179028133,0.729572984325986,3.62813299232737,0.827059259161716,3.33248081841432,0.786777741407772,4.98772378516624,0.53070121529915,3.78158567774936,0.620230347779894,3.48030690537084,0.737977769054638,0.85848252344416,0.59770794321102,0.950554134697357,0.665057121004409,-0.62233589087809,0.580078685834796,0.0190963341858482,0.49376647834819,-0.455072463768116,0.581541070005429,-0.750724637681159,0.533390929628759,0.904518329070759,0.52643459091262,-0.301619778346121,0.36407818548531,-0.602898550724638,0.452146017681884
"15","Ethiopia",4.88494983277592,0.803436984092523,5.2685618729097,0.74131318637025,3.87491638795987,0.888860730950488,4.74113712374582,0.782878901076936,4.98127090301003,0.782130795153666,4.57391304347826,0.845351524791243,5.07621701969528,0.70112006915291,4.30802675585284,0.711036524293259,4.7776662950576,0.733748151127585,0.164398569945796,0.496448498462014,0.548010610079576,0.496279485451796,-0.845634874870257,0.666365784077372,0.020585860915696,0.45931173903902,0.26071964017991,0.445508436744651,-0.146638219351863,0.497509409729143,0.355665756865157,0.373284144790235,-0.412524506977281,0.36275593502306,0.0571150322274759,0.313407150969214
"16","France",4.75172413793103,0.769442623835294,5.26620689655172,0.66195709235435,3.5783908045977,1.05253356127541,4.23080459770115,0.954382588548448,3.94528735632184,0.93367348307449,3.64781609195402,0.985009094074088,5.00896551724138,0.586238172299223,3.90459770114943,0.910652276227029,3.79655172413793,0.90064598883426,0.515019157088123,0.704814268069214,1.02950191570881,0.793499983905916,-0.658314176245211,0.662799241862591,-0.00590038314176234,0.561901374278561,-0.291417624521073,0.556420337936167,-0.588888888888889,0.553892030665807,0.772260536398468,0.625909986643977,-0.332107279693487,0.444374899656337,-0.440153256704981,0.445385945055223
"17","Georgia",4.99230769230769,0.757333913059784,4.89090909090909,0.851080559067312,3.99020979020979,0.829399671740207,4.56538461538462,0.874085602801946,4.24055944055944,0.90814928537361,3.36083916083916,0.917589134446366,4.94160839160839,0.678943607042123,4.27770007770008,0.709755038022154,3.8006993006993,0.813784445229665,0.652202395305844,0.687522397830392,0.550803793907242,0.743194435996186,-0.349895506792058,0.641562915781646,0.225279318382767,0.554596199658036,-0.0995458564424082,0.578851450652224,-0.979266136162688,0.665406686958711,0.601503094606543,0.569675822906372,-0.062405219301771,0.370582397802953,-0.539405996302548,0.466701383857191
"18","Germany",5.10071530758226,0.613634064845637,5.44206008583691,0.553296235463621,3.20321888412017,0.791099537232242,3.79742489270386,0.989193301622821,3.70042918454936,0.843269214070566,2.96881258941345,0.890317314452743,5.27138769670958,0.491398440005477,3.50039739310126,0.799585360048625,3.3346208869814,0.786492498771145,1.06522454080542,0.628178760999555,1.40656931906007,0.689555944109981,-0.832271882656669,0.541083216570187,-0.238065874072978,0.609026958379769,-0.335061582227484,0.553619439060581,-1.06667817736339,0.563608635631452,1.23589692993274,0.578946163209835,-0.535093373675585,0.411068268188304,-0.700869879795438,0.422801484681123
"19","Ghana",4.95403225806452,0.69413812504953,5.35483870967742,0.88367292728216,4.18709677419355,0.778288132191886,5.04516129032258,0.550909060763294,4.98709677419355,0.74558457007704,4.45483870967742,0.8299076423738,5.15448028673835,0.67733034793402,4.61612903225806,0.539943393629034,4.72096774193548,0.67146453509711,0.12379495736003,0.447308889526406,0.524601408972933,0.614033233208251,-0.643140526510938,0.637145533563501,0.214923989618094,0.349647210919014,0.156859473489062,0.420897531981976,-0.375398591027067,0.547535781637907,0.324242986033865,0.340510195357438,-0.214108268446422,0.317845976652852,-0.109269558769003,0.258878699762364
"20","Greece",5.25972850678733,0.550125047464348,5.39049773755656,0.611010260587841,3.64253393665158,0.703732133754919,4.15542986425339,0.870598053788486,3.91221719457014,0.777509873579236,3.0475113122172,0.822586847200304,5.32511312217195,0.477168624776827,3.89912016088487,0.680339390293503,3.47986425339367,0.718828083571183,1.02498309668695,0.579040467248978,1.15575232745618,0.595162628490705,-0.592211473448796,0.545890229986536,-0.079315545846986,0.576356878513073,-0.322528215530244,0.514266316013504,-1.18723409788319,0.563255820756405,1.09036771207157,0.484208169910124,-0.335625249215513,0.389236372151688,-0.754881156706715,0.408646464663025
