Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,Consent object-7 Response,Consent object-7 Quantised
1,1747507771849,17/05/2025 18:49,1747518571849,3.5,18/05/2025 00:49,225484,3,questionnaire-273y,,46278664,BLINDED,13448425,,complete,,,mobile,undefined K,Android 10,Chrome 136.0.0.0,412x732,411x651,,,0,Consent form Mehdinejad,3,consent,موافقم.,1
1,1747919852304,22/05/2025 13:17,1747930652304,3.5,22/05/2025 19:17,225484,3,questionnaire-273y,,46395400,BLINDED,13479004,,complete,,,mobile,undefined K,Android 10,Chrome 136.0.0.0,384x854,384x756,,,0,Consent form Mehdinejad,3,consent,موافقم.,1
1,1749115879904,05/06/2025 09:31,1749126679904,3.5,05/06/2025 15:31,225484,3,questionnaire-273y,,46871281,BLINDED,13581143,,complete,,,mobile,undefined K,Android 12,Chrome 136.0.7103.125,412x915,411x771,,,0,Consent form Mehdinejad,3,consent,موافقم.,1
1,1749122402302,05/06/2025 11:20,1749133202302,3.5,05/06/2025 17:20,225484,3,questionnaire-273y,,46875186,BLINDED,13581950,,live,,,mobile,undefined K,Android 11,Chrome 137.0.7151.61,412x915,411x784,,,0,Consent form Mehdinejad,3,consent,موافقم.,1
1,1749278381606,07/06/2025 06:39,1749289181606,3.5,07/06/2025 12:39,225484,3,questionnaire-273y,,46945339,BLINDED,13595481,,complete,,,mobile,undefined K,Android 10,Chrome 131.0.6778.39,393x851,393x720,,,0,Consent form Mehdinejad,3,consent,موافقم.,1
1,1749286029564,07/06/2025 08:47,1749296829564,3.5,07/06/2025 14:47,225484,3,questionnaire-273y,,46946757,BLINDED,13595714,,live,,,mobile,undefined K,Android 14,Chrome 137.0.7151.61,384x832,384x728,,,0,Consent form Mehdinejad,3,consent,موافقم.,1
1,1749286063666,07/06/2025 08:47,1749296863666,3.5,07/06/2025 14:47,225484,3,questionnaire-273y,,46946766,BLINDED,13595716,,complete,,,mobile,undefined K,Android 14,Chrome 136.0.7103.127,393x873,392x735,,,0,Consent form Mehdinejad,3,consent,موافقم.,1
1,1749286427796,07/06/2025 08:53,1749297227796,3.5,07/06/2025 14:53,225484,3,questionnaire-273y,,46946919,BLINDED,13595746,,complete,,,mobile,undefined K,Android 13,Chrome 136.0.7103.125,393x873,392x735,,,0,Consent form Mehdinejad,3,consent,موافقم.,1
1,1749287161104,07/06/2025 09:06,1749297961104,3.5,07/06/2025 15:06,225484,3,questionnaire-273y,,46947213,BLINDED,13595799,,complete,,,mobile,undefined K,Android 10,Chrome 137.0.0.0,407x904,406x798,,,0,Consent form Mehdinejad,3,consent,موافقم.,1
1,1749287190224,07/06/2025 09:06,1749297990224,3.5,07/06/2025 15:06,225484,3,questionnaire-273y,,46947225,BLINDED,13595801,,complete,,,mobile,undefined K,Android 11,Chrome 136.0.7103.125,393x873,392x736,,,0,Consent form Mehdinejad,3,consent,موافقم.,1
1,1749287738174,07/06/2025 09:15,1749298538174,3.5,07/06/2025 15:15,225484,3,questionnaire-273y,,46947460,BLINDED,13595826,,complete,,,mobile,undefined K,Android 10,Chrome 137.0.0.0,393x873,392x736,,,0,Consent form Mehdinejad,3,consent,موافقم.,1
1,1749287863675,07/06/2025 09:17,1749298663675,3.5,07/06/2025 15:17,225484,3,questionnaire-273y,,46947511,BLINDED,13595831,,live,,,mobile,undefined K,Android 14,Chrome 137.0.7151.61,384x832,384x701,,,0,Consent form Mehdinejad,3,consent,موافقم.,1
1,1749287956384,07/06/2025 09:19,1749298756384,3.5,07/06/2025 15:19,225484,3,questionnaire-273y,,46947571,BLINDED,13595839,,complete,,,mobile,Apple iPhone,iOS 15.1.1,Mobile Safari 15.1.1,390x844,390x648,,,0,Consent form Mehdinejad,3,consent,موافقم.,1
1,1749288143182,07/06/2025 09:22,1749298943182,3.5,07/06/2025 15:22,225484,3,questionnaire-273y,,46947639,BLINDED,13595849,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 136.0.0.0,1440x900,1440x778,,,0,Consent form Mehdinejad,3,consent,موافقم.,1
1,1749306070079,07/06/2025 14:21,1749320470079,4.5,07/06/2025 22:21,225484,3,questionnaire-273y,,46953238,BLINDED,13596748,,complete,,,mobile,undefined K,Android 10,Chrome 78.0.3904.108,360x780,360x650,,,0,Consent form Mehdinejad,3,consent,موافقم.,1
1,1749494522519,09/06/2025 18:42,1749505322519,3.5,10/06/2025 00:42,225484,3,questionnaire-273y,,47005238,BLINDED,13608461,,complete,,,mobile,undefined K,Android 12,Chrome 136.0.7103.127,412x915,411x780,,,0,Consent form Mehdinejad,3,consent,موافقم.,1
