Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,Consent object-7 Response,Consent object-7 Quantised
1,1742753401962,23/03/2025 18:10,1742764201962,3.5,24/03/2025 00:10,215994,4,questionnaire-jdx2,,44638830,BLINDED,13011647,,live,,,mobile,undefined K,Android 14,Chrome 134.0.6998.40,393x873,392x735,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1742818381134,24/03/2025 12:13,1742829181134,3.5,24/03/2025 18:13,215994,4,questionnaire-jdx2,,44655020,BLINDED,13016232,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1366x768,1366x651,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1742866677409,25/03/2025 01:37,1742877477409,3.5,25/03/2025 07:37,215994,4,questionnaire-jdx2,,44679561,BLINDED,13023665,,complete,,,mobile,undefined K,Android 14,Chrome 134.0.6998.40,384x854,384x718,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1742991235315,26/03/2025 12:13,1743002035315,3.5,26/03/2025 18:13,215994,4,questionnaire-jdx2,,44732377,BLINDED,13037688,,complete,,,mobile,undefined K,Android 13,Chrome 134.0.6998.39,385x854,384x718,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1742999496947,26/03/2025 14:31,1743013896947,4,26/03/2025 22:31,215994,4,questionnaire-jdx2,,44737866,BLINDED,13039060,,complete,,,mobile,undefined K,Android 14,Chrome 134.0.6998.108,385x833,384x700,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1743074496946,27/03/2025 11:21,1743085296946,3.5,27/03/2025 17:21,215994,4,questionnaire-jdx2,,44765367,BLINDED,13046621,,live,,,mobile,undefined K,Android 13,Chrome 134.0.6998.39,393x873,392x735,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1743084705329,27/03/2025 14:11,1743095505329,3.5,27/03/2025 20:11,215994,4,questionnaire-jdx2,,44774725,BLINDED,13048884,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,430x932,430x729,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1743159244748,28/03/2025 10:54,1743170044748,3.5,28/03/2025 16:54,215994,4,questionnaire-jdx2,,44816787,BLINDED,13056107,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1280x720,1272x641,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1743173367987,28/03/2025 14:49,1743184167987,3.5,28/03/2025 20:49,215994,4,questionnaire-jdx2,,44837208,BLINDED,13060038,,complete,,,mobile,Samsung SM-A525F,Android 12,Chrome 108.0.0.0,412x915,412x810,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1743244139019,29/03/2025 10:28,1743254939019,3.5,29/03/2025 16:28,215994,4,questionnaire-jdx2,,44885649,BLINDED,13066012,,complete,,,mobile,undefined K,Android 10,Chrome 134.0.0.0,393x873,392x735,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1743366008076,30/03/2025 20:20,1743376808076,3.5,31/03/2025 02:20,215994,4,questionnaire-jdx2,,44935561,BLINDED,13073224,,complete,,,mobile,Apple iPhone,iOS 18.3.1,Mobile Safari 18.3.1,390x844,390x648,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1743492661862,01/04/2025 07:31,1743503461862,3.5,01/04/2025 13:31,215994,4,questionnaire-jdx2,,44996883,BLINDED,13085681,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.7.10,768x1024,1024x698,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1743554730698,02/04/2025 00:45,1743565530698,3.5,02/04/2025 06:45,215994,4,questionnaire-jdx2,,45022679,BLINDED,13092972,,live,,,mobile,undefined K,Android 14,Chrome 134.0.6998.135,393x873,392x735,,,0,Consent form Tondro,2,consent,موافقم.,1
