Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,Dictator_decision object-100 Response,Dictator_decision object-100 Quantised
1,1743165014631,28/03/2025 12:30,1743175814631,3.5,28/03/2025 18:30,215994,4,questionnaire-y8yi,,44827088,BLINDED,13056107,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1280x720,1272x641,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1743174222476,28/03/2025 15:03,1743185022476,3.5,28/03/2025 21:03,215994,4,questionnaire-y8yi,,44837878,BLINDED,13060038,,complete,,,mobile,Samsung SM-A525F,Android 12,Chrome 108.0.0.0,412x915,412x810,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۴,5
1,1743244951846,29/03/2025 10:42,1743255751846,3.5,29/03/2025 16:42,215994,4,questionnaire-y8yi,,44886269,BLINDED,13066012,,complete,,,mobile,undefined K,Android 10,Chrome 134.0.0.0,393x873,392x735,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۴,5
1,1743367664894,30/03/2025 20:47,1743378464894,3.5,31/03/2025 02:47,215994,4,questionnaire-y8yi,,44936383,BLINDED,13073224,,complete,,,mobile,Apple iPhone,iOS 18.3.1,Mobile Safari 18.3.1,390x844,390x648,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۲,3
1,1743493509880,01/04/2025 07:45,1743504309880,3.5,01/04/2025 13:45,215994,4,questionnaire-y8yi,,44997028,BLINDED,13085681,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.7.10,768x1024,1024x698,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۴,5
1,1743555194860,02/04/2025 00:53,1743565994860,3.5,02/04/2025 06:53,215994,4,questionnaire-y8yi,,45022714,BLINDED,13092972,,live,,,mobile,undefined K,Android 14,Chrome 134.0.6998.135,393x873,392x735,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1743631190849,02/04/2025 21:59,1743641990849,3.5,03/04/2025 03:59,215994,4,questionnaire-y8yi,,45051722,BLINDED,13101429,,complete,,,mobile,undefined K,Android 11,Chrome 134.0.6998.135,384x854,384x658,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۱,2
1,1743649146098,03/04/2025 02:59,1743659946098,3.5,03/04/2025 08:59,215994,4,questionnaire-y8yi,,45053600,BLINDED,13102091,,complete,,,mobile,undefined K,Android 10,Chrome 134.0.0.0,491x1091,491x982,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1743672697291,03/04/2025 09:31,1743683497291,3.5,03/04/2025 15:31,215994,4,questionnaire-y8yi,,45058038,BLINDED,13103183,,complete,,,mobile,undefined K,Android 14,Chrome 134.0.6998.135,360x780,360x643,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1743673927002,03/04/2025 09:52,1743684727002,3.5,03/04/2025 15:52,215994,4,questionnaire-y8yi,,45059290,BLINDED,13103555,,complete,,,mobile,undefined K,Android 14,Chrome 134.0.6998.135,384x854,384x718,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1743680674692,03/04/2025 11:44,1743691474692,3.5,03/04/2025 17:44,215994,4,questionnaire-y8yi,,45064675,BLINDED,13103844,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 134.0.0.0,1536x864,1014x643,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۴,5
1,1743677777306,03/04/2025 10:56,1743688577306,3.5,03/04/2025 16:56,215994,4,questionnaire-y8yi,,45062525,BLINDED,13104414,,live,,,computer,Desktop or Laptop,Windows 10,Firefox 136.0,1280x720,1280x587,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۳,4
1,1743685563381,03/04/2025 13:06,1743696363381,3.5,03/04/2025 19:06,215994,4,questionnaire-y8yi,,45068631,BLINDED,13105890,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5.1,390x844,390x648,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1743685714901,03/04/2025 13:08,1743696514901,3.5,03/04/2025 19:08,215994,4,questionnaire-y8yi,,45068805,BLINDED,13105943,,complete,,,mobile,Apple iPhone,iOS 17.3.1,Mobile Safari 17.3.1,390x844,390x648,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1743690007395,03/04/2025 14:20,1743700807395,3.5,03/04/2025 20:20,215994,4,questionnaire-y8yi,,45072105,BLINDED,13106919,,live,,,mobile,undefined K,Android 14,Chrome 134.0.6998.135,393x873,392x735,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۷ ,8
1,1743695220204,03/04/2025 15:47,1743706020204,3.5,03/04/2025 21:47,215994,4,questionnaire-y8yi,,45080641,BLINDED,13108544,,complete,,,mobile,Apple iPhone,iOS 17.5,Mobile Safari 17.5,390x844,390x670,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1743706076546,03/04/2025 18:47,1743716876546,3.5,04/04/2025 00:47,215994,4,questionnaire-y8yi,,45087600,BLINDED,13110045,,live,,,mobile,undefined K,Android 14,Chrome 134.0.6998.135,384x832,384x701,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۴,5
1,1743707356548,03/04/2025 19:09,1743718156548,3.5,04/04/2025 01:09,215994,4,questionnaire-y8yi,,45088365,BLINDED,13110198,,complete,,,mobile,undefined K,Android 14,Chrome 134.0.6998.135,384x854,384x718,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۵,6
1,1743757134895,04/04/2025 08:58,1743767934895,3.5,04/04/2025 14:58,215994,4,questionnaire-y8yi,,45099645,BLINDED,13112934,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1536x864,1536x730,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۱۰,11
1,1743758959954,04/04/2025 09:29,1743769759954,3.5,04/04/2025 15:29,215994,4,questionnaire-y8yi,,45100597,BLINDED,13113087,,complete,,,mobile,undefined K,Android 13,Chrome 134.0.6998.135,393x873,392x740,,,0,Dictator Game and Ultimatum Game Instructions,7,consent,۴,5
