"","country_res_full","D_self_norm_mean_country","D_self_norm_sd_country","D_other_norm_mean_country","D_other_norm_sd_country","H_self_norm_mean_country","H_self_norm_sd_country","H_other_norm_mean_country","H_other_norm_sd_country","F_self_norm_mean_country","F_self_norm_sd_country","F_other_norm_mean_country","F_other_norm_sd_country","D_norm_mean_country","D_norm_sd_country","H_norm_mean_country","H_norm_sd_country","F_norm_mean_country","F_norm_sd_country","D_self_normc_mean_country","D_self_normc_sd_country","D_other_normc_mean_country","D_other_normc_sd_country","H_self_normc_mean_country","H_self_normc_sd_country","H_other_normc_mean_country","H_other_normc_sd_country","F_self_normc_mean_country","F_self_normc_sd_country","F_other_normc_mean_country","F_other_normc_sd_country","D_normc_mean_country","D_normc_sd_country","H_normc_mean_country","H_normc_sd_country","F_normc_mean_country","F_normc_sd_country"
"25","Iran",3.76745406824147,1.19995770807733,3.29291338582677,1.20458648303466,4.57973684210526,0.809058173714586,4.85565789473684,0.848116546737792,4.64842105263158,0.844810407344587,4.36631578947368,0.855208845337308,3.52970982793817,1.1049792853869,4.71880116959064,0.69041238756251,4.50718567251462,0.766457730397738,-0.486366096000452,0.984665531381799,-0.96090677841515,0.934509402566267,0.329196098483757,0.73915892833939,0.605117151115336,0.653915351702566,0.397880309010073,0.541977717072229,0.115775045852178,0.704064484661848,-0.724110336303747,0.835287001426716,0.468260425969137,0.525715624266257,0.256644928893114,0.509905723771424
"26","Ireland",4.14794520547945,1.0354963368465,4.05479452054795,1.10717873392621,4.29315068493151,0.752833308819143,4.57260273972603,0.703416320928044,4.35068493150685,0.811569687510847,4.04657534246575,0.846246974683715,4.1013698630137,1.00367285931403,4.43287671232877,0.596297556808434,4.1986301369863,0.767661157652279,-0.0963470319634703,0.745947107892178,-0.189497716894977,0.802655252324571,0.0488584474885845,0.832723521169712,0.328310502283105,0.563626683232572,0.106392694063927,0.518296638401197,-0.197716894977169,0.588556739849544,-0.142922374429224,0.677242034439363,0.188584474885845,0.574757575790405,-0.045662100456621,0.45763437779989
"27","Israel",4.44144144144144,0.836359786110469,4.0036036036036,1.17666766936994,4.42432432432432,0.969113645558375,4.5445945945946,0.841096010531698,4.1536036036036,0.869503678041066,3.58063063063063,0.870942282355776,4.22252252252252,0.886460451838904,4.48450950950951,0.808590629981063,3.86711711711712,0.778694731665722,0.250044009526768,0.680605427642153,-0.18779382831107,1.0556436040364,0.232926892409651,0.825440164785408,0.353197162679921,0.611985826790159,-0.0377938283110697,0.595911433624009,-0.610766801284043,0.625123918367322,0.0311250906078492,0.729790016465204,0.293112077594836,0.59885250886821,-0.324280314797556,0.471192219250599
"28","Italy",4.18551236749117,1.01535224404775,3.89646643109541,1.17131869778958,4.5243816254417,0.977303073949962,4.67358657243816,0.900282767042411,4.5178445229682,0.872986705610966,4.10989399293286,0.8448538582737,4.04098939929329,1.01207667513267,4.59848841774637,0.850259505599453,4.31386925795053,0.783529146043255,-0.132262093334958,0.872140063768658,-0.421308029730718,1.09587448561129,0.206607164615572,0.85345060220887,0.355812111612039,0.602524794715878,0.200070062142074,0.559442784968899,-0.207880467893262,0.603742587775066,-0.276785061532838,0.896448520679,0.280713956920244,0.620896246747879,-0.00390520287559412,0.463375310807658
"29","Japan",3.70566037735849,0.829916990201379,4.41509433962264,0.843362901713608,3.90566037735849,0.690472848387351,4.61745283018868,0.638094920676688,4.92877358490566,0.630900445223225,4.55518867924528,0.809734779720223,4.06037735849057,0.681040678467362,4.26155660377358,0.538765273963626,4.74198113207547,0.653726788185363,-0.648977987421384,0.831352415342089,0.0604559748427673,0.703065225249051,-0.448977987421384,0.614985785359387,0.262814465408805,0.442659943696013,0.574135220125786,0.44804602956503,0.200550314465409,0.639737609632051,-0.294261006289308,0.597100144989297,-0.0930817610062893,0.36794938554897,0.387342767295597,0.45333271208771
"30","Kazakhstan",4.21935483870968,1.07162088369585,4.00430107526882,1.01423712801625,4.4989247311828,0.778864086996027,4.81505376344086,0.75999803154195,4.45322580645161,1.02277878233157,4.02365591397849,0.975726914024969,4.11230585424134,0.959785132016155,4.65698924731183,0.668937809786069,4.23835125448029,0.939343308447245,-0.116635768137437,1.06467731990037,-0.331689531578297,0.920413415966796,0.162934124335682,0.660209353915432,0.479063156593746,0.514950639835543,0.117235199604499,0.779416030089073,-0.31233469286862,0.789461579888661,-0.223684752605776,0.907168218840116,0.320998640464714,0.453750958801984,-0.0976393523668273,0.706091177624
"31","Kenya",4.60456939281289,1.13605079154422,4.69793621013133,1.21288419420013,4.19746105919003,1.28426775529078,4.60665708812261,1.09870397803772,4.47875968992248,1.1664859803453,4.37540437678402,1.24155987942881,4.65580919653085,1.05959298084921,4.38616711744939,1.01143769929687,4.43275756085567,1.02320078911266,0.109959727385378,0.802672981786027,0.203189493433396,0.865993623427148,-0.29309968847352,1.10452052648221,0.118342911877395,0.71712276352601,-0.00607751937984507,0.832443512632308,-0.105756422454805,0.847506711296637,0.166118474881362,0.651680230684324,-0.100579870502418,0.674911864450671,-0.0563990656503566,0.563975064095812
"32","Kosovo",4.76256038647343,1.00467920541922,4.62173913043478,1.11292532812658,4.55024154589372,0.729867283861914,4.85748792270531,0.774239036744131,4.6304347826087,0.744879806781798,4.03478260869565,0.867060554926625,4.69214975845411,0.996724899863159,4.70386473429952,0.663386824335357,4.33024307951844,0.721010945453211,0.187179822787019,0.851537522947811,0.0463585667483719,0.939180788114757,-0.0251390177926909,0.677521592302038,0.282107359018903,0.591638023829509,0.0550542189222849,0.492754070151408,-0.540597954990759,0.716483702612642,0.116769194767696,0.820400714888449,0.128484170613106,0.527770252387072,-0.245137484167969,0.489486741864977
"33","Kuwait",4.05777777777778,1.25042810794331,4.00111111111111,1.3738982945976,4.73777777777778,0.884702743725151,5.09333333333333,0.874313777202205,4.84555555555556,0.902344693904168,4.51555555555556,0.836314221655512,4.02944444444444,1.22837482779758,4.91555555555556,0.787459121735674,4.68055555555556,0.778560282967718,-0.484074074074074,1.0274413360449,-0.540740740740741,1.15049745296034,0.195925925925926,0.886736920219516,0.551481481481481,0.667999805066024,0.303703703703704,0.635811957499759,-0.0262962962962963,0.663437139336415,-0.512407407407407,0.986387993231495,0.373703703703704,0.680289025450829,0.138703703703704,0.521090437265853
"34","Lebanon",3.27816091954023,0.787315912386394,3.82528735632184,0.740084594599739,4.82528735632184,0.61892975722061,5.34942528735632,0.550871099432819,5.04597701149425,0.693961428742018,4.77701149425287,0.551045760440006,3.55172413793103,0.68128846278714,5.08735632183908,0.513946110128821,4.91149425287356,0.568642873858314,-1.23869731800766,0.77096659963813,-0.691570881226054,0.647938858705259,0.308429118773946,0.540294167908638,0.832567049808429,0.46098358531523,0.52911877394636,0.527360072375062,0.260153256704981,0.399218845789607,-0.965134099616858,0.622467126991821,0.570498084291188,0.416035965678317,0.39463601532567,0.38662635325863
"35","Malaysia",4.16077170418006,1.01517742735111,4.18520900321543,1.1282472295625,4.191961414791,0.831302715596425,4.65980707395498,0.883189944909083,4.7048231511254,0.903296409882969,4.50739549839228,0.89264556119165,4.17299035369775,0.991598772545177,4.42597356198642,0.742582475896284,4.60610932475884,0.825048175099702,-0.24093210629412,0.852925970651189,-0.21649480725875,0.864317987812632,-0.209742395683187,0.709048539160369,0.2581032634808,0.534335250525542,0.303119340651218,0.599495145472426,0.105691687918099,0.642458158000187,-0.228713456776435,0.75416759638534,0.0242697515122396,0.458178681993199,0.204405514284658,0.510291776670017
"36","Mexico",4.65142857142857,0.969275165976741,4.65857142857143,1.15465811155228,4.34714285714286,0.998880154061951,4.58,0.915195462080615,4.52857142857143,0.931949740384245,4.04428571428571,0.995838205096441,4.655,0.996564241667232,4.46301587301587,0.866030473065103,4.28642857142857,0.893317373676933,0.183095238095238,0.862075057134723,0.190238095238095,1.01709997000195,-0.121190476190476,0.793279230711525,0.111666666666667,0.525571897407505,0.0602380952380952,0.578054517530097,-0.424047619047619,0.703026094226207,0.186666666666667,0.863486139639381,-0.00531746031746031,0.533452337937302,-0.181904761904762,0.531131116248168
"37","Morocco",4.49511494252874,0.911799173270401,4.63908045977012,1.09959070912447,4.40459770114943,0.854218778541646,4.97931034482759,0.726085065007173,4.53879310344828,0.863152732155386,4.26171428571429,0.788325322725281,4.56704980842912,0.940940567883871,4.69195402298851,0.650338887345765,4.40146031746032,0.735291889568801,-0.0572631787554498,0.565140236853707,0.0867023384859294,0.774584880915162,-0.14778042013476,0.838442607450826,0.426932223543401,0.45871779007192,-0.0135850178359096,0.486612052142241,-0.293221674876847,0.559587902019473,0.0146716871449332,0.569821639184877,0.13957590170432,0.501198618546583,-0.153475643130816,0.364854792581447
"38","Namibia",4.648264781491,1.17827505531464,4.77442602040816,1.20442562153829,4.3263906581741,1.2955180108175,4.60418792517007,1.21387745430734,4.46014957264957,1.18762183982288,4.48282694848085,1.25539463505993,4.71782164700743,1.0504251159512,4.46590126291619,1.04517857125641,4.45926685255044,1.07850711011448,0.105077120822622,0.831624761412546,0.226466836734694,0.77946631327957,-0.227112526539278,1.01578067893129,0.0577593537414965,0.768613929547951,-0.0922863247863247,0.842129427005227,-0.0586525759577279,0.857195606530549,0.170344582787243,0.581029802655179,-0.0817451205510907,0.570058333905424,-0.0892980154174184,0.595677635891347
"39","New Zealand",4.43318777292576,0.905896311322321,4.31528384279476,1.01133164461303,4.24541484716157,0.868169291815991,4.52314410480349,0.852260503593139,4.58689956331878,0.768687359992402,4.17554585152838,0.900153633983878,4.37423580786026,0.899361350563616,4.38427947598253,0.783165545991264,4.38122270742358,0.772695378239243,0.0532751091703056,0.832060546432987,-0.0646288209606988,0.943979445482366,-0.134497816593886,0.646212991686074,0.143231441048035,0.558776370704253,0.206986899563319,0.539474596687278,-0.204366812227074,0.658154983129139,-0.00567685589519646,0.823918625209947,0.00436681222707427,0.488084481775318,0.0013100436681222,0.508507765529063
"40","Nigeria",4.75359342915811,0.934161021336202,4.58891170431211,1.07716680200808,4.64229979466119,0.93276947719817,4.96262833675565,0.921262146095845,4.99260780287474,0.921143264517604,4.75154004106776,0.984965526510441,4.67116130504221,0.920499229215613,4.80239561943874,0.816880776780885,4.87207392197125,0.890184478659862,-0.0281710347524976,0.60929147940147,-0.192852759598494,0.758558902730816,-0.139464669249418,0.74127997546748,0.180863872845038,0.471512518074831,0.210843338964135,0.430297384260742,-0.0302244228428466,0.547885854755813,-0.1106031588684,0.551483775861743,0.020631155528132,0.440259072795875,0.090309458060644,0.354633302621784
"41","North Macedonia",4.11858974358974,1.12093808252117,4.01410256410256,1.1687489515004,4.56474358974359,0.773791308238053,4.90128205128205,0.764483910945688,4.70769230769231,0.86989953676065,4.15384615384615,0.918504629487682,4.06634615384615,1.06492853286677,4.73301282051282,0.677307816025041,4.43076923076923,0.816676299451367,-0.291452991452991,0.978700436865861,-0.395940170940171,0.974515153758455,0.154700854700855,0.671663468171275,0.491239316239316,0.49455213107772,0.297649572649573,0.639484565794253,-0.256196581196581,0.756671454269309,-0.343696581196581,0.881250132985616,0.322970085470085,0.463689951005535,0.0207264957264958,0.597928339067298
"42","Pakistan",4.08924485125858,1.18150837623834,3.98993135011442,1.27692622794219,4.6649885583524,0.771145824663733,5.0466819221968,0.79136348598042,4.82379862700229,0.788088638717229,4.60869565217391,0.83348356576939,4.0395881006865,1.17890978039746,4.8558352402746,0.651951235261461,4.7162471395881,0.741302234585948,-0.447978642257818,0.90732892454753,-0.547292143401983,0.956077142215672,0.127765064836003,0.793543655292011,0.509458428680397,0.568056432686836,0.286575133485889,0.549671194238659,0.0714721586575134,0.647275159070537,-0.497635392829901,0.863273764542116,0.3186117467582,0.539239473726466,0.179023646071701,0.502186719481385
"43","Philippines",4.56416083916084,1.06978795148778,4.5818553092182,1.16459669228263,4.69585764294049,0.810184727574461,5.07444574095683,0.763117653720144,5.08273045507585,0.809078461254695,4.81172695449242,0.858427602493967,4.57384097384097,1.05509207270388,4.88577077661092,0.687718808175173,4.94669127169127,0.760507370296454,-0.23762599469496,0.793598801043447,-0.220089191110396,0.858680709945276,-0.106086857388109,0.695135371816256,0.272501240628227,0.501614873473595,0.280785954747247,0.461252200906189,0.00900454673480048,0.619636964575747,-0.227945860014826,0.739627410380072,0.0838262762823179,0.470859057676546,0.144904437835472,0.426353600700807
