Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,Consent object-7 Response,Consent object-7 Quantised
1,1747683739936,19/05/2025 19:42,1747694539936,3.5,20/05/2025 01:42,225485,4,questionnaire-ri58,,46317663,BLINDED,13458646,,complete,,,mobile,Samsung SM-G990E,Android 14,Instagram 377.1.0.48.63,360x780,360x651,,,0,Consent form Vazirian,3,consent,موافقم.,1
1,1747686165606,19/05/2025 20:22,1747696965606,3.5,20/05/2025 02:22,225485,4,questionnaire-ri58,,46318471,BLINDED,13458867,,complete,,,mobile,Samsung SM-A336E,Android 14,Instagram 361.0.0.46.88,384x854,384x729,,,0,Consent form Vazirian,3,consent,موافقم.,1
1,1747685955987,19/05/2025 20:19,1747693155987,2,20/05/2025 00:19,225485,4,questionnaire-ri58,,46318443,BLINDED,13458862,,complete,,,mobile,undefined K,Android 10,Chrome 136.0.0.0,384x854,384x718,,,0,Consent form Vazirian,3,consent,موافقم.,1
1,1747687294924,19/05/2025 20:41,1747698094924,3.5,20/05/2025 02:41,225485,4,questionnaire-ri58,,46318828,BLINDED,13458969,,live,,,mobile,Apple iPhone,iOS 18.4,Instagram 379.0.0.26.81,428x926,428x859,,,0,Consent form Vazirian,3,consent,موافقم.,1
1,1747686316242,19/05/2025 20:25,1747693516242,2,20/05/2025 00:25,225485,4,questionnaire-ri58,,46318534,BLINDED,13458886,,complete,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4,390x844,390x663,,,0,Consent form Vazirian,3,consent,موافقم.,1
1,1747686438083,19/05/2025 20:27,1747697238083,3.5,20/05/2025 02:27,225485,4,questionnaire-ri58,,46318566,BLINDED,13458896,,live,,,mobile,Samsung SM-A515F,Android 13,Instagram 379.1.0.43.80,412x915,411x784,,,0,Consent form Vazirian,3,consent,موافقم.,1
1,1747687233519,19/05/2025 20:40,1747698033519,3.5,20/05/2025 02:40,225485,4,questionnaire-ri58,,46318801,BLINDED,13458963,,complete,,,mobile,Xiaomi 2107113SG,Android 14,Instagram 380.0.0.49.84,393x873,392x747,,,0,Consent form Vazirian,3,consent,موافقم.,1
1,1747686544873,19/05/2025 20:29,1747697344873,3.5,20/05/2025 02:29,225485,4,questionnaire-ri58,,46318590,BLINDED,13458904,,complete,,,mobile,Samsung SM-A315F,Android 12,Instagram 379.1.0.43.80,412x915,411x788,,,0,Consent form Vazirian,3,consent,موافقم.,1
1,1747687503977,19/05/2025 20:45,1747698303977,3.5,20/05/2025 02:45,225485,4,questionnaire-ri58,,46318893,BLINDED,13458980,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Instagram 377.0.0.29.79,414x896,414x713,,,0,Consent form Vazirian,3,consent,موافقم.,1
1,1747693298848,19/05/2025 22:21,1747704098848,3.5,20/05/2025 04:21,225485,4,questionnaire-ri58,,46321425,BLINDED,13459436,,complete,,,mobile,Apple iPhone,iOS 15.6.1,Instagram 380.0.0.30.73,414x736,414x635,,,0,Consent form Vazirian,3,consent,موافقم.,1
