Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,branch-odpf,Dictator_decision object-100 Response,Dictator_decision object-100 Quantised
1,1742974282635,26/03/2025 07:31,1742985082635,3,26/03/2025 13:31,209877,4,questionnaire-3zyp,,44723914,BLINDED,13035321,,complete,,,mobile,Apple iPhone,iOS 18.1.1,Mobile Safari 18.1.1,390x844,390x648,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1742974350910,26/03/2025 07:32,1742985150910,3,26/03/2025 13:32,209877,4,questionnaire-3zyp,,44723947,BLINDED,13035315,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,393x852,393x649,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1742974342030,26/03/2025 07:32,1742985142030,3,26/03/2025 13:32,209877,4,questionnaire-3zyp,,44723941,BLINDED,13035358,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 134.0.0.0,1536x960,1495x766,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,4,5
1,1742974418143,26/03/2025 07:33,1742985218143,3,26/03/2025 13:33,209877,4,questionnaire-3zyp,,44723976,BLINDED,13035359,,complete,,,mobile,Apple iPhone,iOS 17.6.1,Mobile Safari 17.6.1,390x844,390x648,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1742974595398,26/03/2025 07:36,1742985395398,3,26/03/2025 13:36,209877,4,questionnaire-3zyp,,44724047,BLINDED,13035361,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,390x844,390x648,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,4,5
1,1742974694585,26/03/2025 07:38,1742985494585,3,26/03/2025 13:38,209877,4,questionnaire-3zyp,,44724096,BLINDED,13035368,,complete,,,mobile,Apple iPhone,iOS 18.0.1,Mobile Safari 18.0.1,430x932,430x729,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1742974437581,26/03/2025 07:33,1742985237581,3,26/03/2025 13:33,209877,4,questionnaire-3zyp,,44723985,BLINDED,13035370,,live,,,mobile,Apple iPhone,iOS 18.3.1,Mobile Safari 18.3.1,393x852,393x649,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,4,5
1,1742975992044,26/03/2025 07:59,1742986792044,3,26/03/2025 13:59,209877,4,questionnaire-3zyp,,44724636,BLINDED,13035371,,live,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,393x852,393x649,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,,3,4
1,1742974738825,26/03/2025 07:38,1742985538825,3,26/03/2025 13:38,209877,4,questionnaire-3zyp,,44724114,BLINDED,13035372,,complete,,,mobile,undefined K,Android 15,Chrome 134.0.6998.39,393x873,392x735,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,M,4,5
1,1742974546011,26/03/2025 07:35,1742985346011,3,26/03/2025 13:35,209877,4,questionnaire-3zyp,,44724027,BLINDED,13035379,,complete,,,mobile,Apple iPhone,iOS 17.4.1,Mobile Safari 17.4.1,414x896,414x714,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1742975890044,26/03/2025 07:58,1742986690044,3,26/03/2025 13:58,209877,4,questionnaire-3zyp,,44724551,BLINDED,13035383,,live,,,mobile,undefined K,Android 13,Chrome 134.0.6998.40,360x800,360x664,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,,5,6
1,1742974369792,26/03/2025 07:32,1742985169792,3,26/03/2025 13:32,209877,4,questionnaire-3zyp,,44723954,BLINDED,13035390,,complete,,,mobile,Apple iPhone,iOS 17.6.1,Mobile Safari 17.6.1,375x812,375x613,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,M,6,7
1,1742975734667,26/03/2025 07:55,1742986534667,3,26/03/2025 13:55,209877,4,questionnaire-3zyp,,44724562,BLINDED,13035378,,live,,,mobile,undefined K,Android 14,Chrome 134.0.6998.108,384x832,384x700,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1742974807091,26/03/2025 07:40,1742985607091,3,26/03/2025 13:40,209877,4,questionnaire-3zyp,,44724143,BLINDED,13035393,,live,,,mobile,undefined K,Android 13,Chrome 133.0.6943.138,393x873,393x736,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,,10,11
1,1742975367092,26/03/2025 07:49,1742986167092,3,26/03/2025 13:49,209877,4,questionnaire-3zyp,,44724393,BLINDED,13035395,,live,,,mobile,Apple iPhone,iOS 18.2.1,Mobile Safari 18.2.1,440x956,440x753,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,,10,11
1,1742974837379,26/03/2025 07:40,1742985637379,3,26/03/2025 13:40,209877,4,questionnaire-3zyp,,44724157,BLINDED,13035401,,live,,,mobile,Apple iPhone,iOS 17.2,Mobile Safari 17.2,390x844,390x663,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,,4,5
1,1742975401738,26/03/2025 07:50,1742986201738,3,26/03/2025 13:50,209877,4,questionnaire-3zyp,,44724411,BLINDED,13035408,,live,,,mobile,undefined K,Android 12,Chrome 134.0.6998.39,385x854,384x725,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,,4,5
1,1742974954423,26/03/2025 07:42,1742985754423,3,26/03/2025 13:42,209877,4,questionnaire-3zyp,,44724216,BLINDED,13035426,,live,,,mobile,Apple iPhone,iOS 18.3.1,Mobile Safari 18.3.1,390x844,390x648,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1742975643438,26/03/2025 07:54,1742986443438,3,26/03/2025 13:54,209877,4,questionnaire-3zyp,,44724524,BLINDED,13035424,,complete,,,mobile,undefined K,Android 12,Chrome 134.0.6998.39,360x804,360x695,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,M,10,11
1,1742975910558,26/03/2025 07:58,1742986710558,3,26/03/2025 13:58,209877,4,questionnaire-3zyp,,44724614,BLINDED,13035422,,live,,,mobile,undefined K,Android 14,Chrome 134.0.6998.108,393x873,392x735,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,,5,6
1,1742974841102,26/03/2025 07:40,1742985641102,3,26/03/2025 13:40,209877,4,questionnaire-3zyp,,44724161,BLINDED,13035423,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,390x844,390x648,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1742974828898,26/03/2025 07:40,1742985628898,3,26/03/2025 13:40,209877,4,questionnaire-3zyp,,44724152,BLINDED,13035376,,complete,,,mobile,Apple iPhone,iOS 17.4.1,Mobile Safari 17.4.1,414x896,414x711,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,4,5
1,1742975124919,26/03/2025 07:45,1742985924919,3,26/03/2025 13:45,209877,4,questionnaire-3zyp,,44724295,BLINDED,13035454,,complete,,,mobile,undefined K,Android 14,Chrome 134.0.6998.39,384x854,384x714,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1742975380308,26/03/2025 07:49,1742986180308,3,26/03/2025 13:49,209877,4,questionnaire-3zyp,,44724400,BLINDED,13035472,,complete,,,mobile,Apple iPhone,iOS 18.0.1,Mobile Safari 18.0.1,390x844,390x648,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,3,4
1,1742975821266,26/03/2025 07:57,1742986621266,3,26/03/2025 13:57,209877,4,questionnaire-3zyp,,44724588,BLINDED,13035481,,live,,,mobile,Apple iPhone,iOS 18.3.1,Mobile Safari 18.3,393x852,393x659,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,F,5,6
1,1742991826792,26/03/2025 12:23,1743002626792,3,26/03/2025 18:23,209877,4,questionnaire-3zyp,,44732680,BLINDED,13037683,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,390x844,390x648,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,M,3,4
1,1743004078934,26/03/2025 15:47,1743014878934,3,26/03/2025 21:47,209877,4,questionnaire-3zyp,,44741090,BLINDED,13039972,,complete,,,mobile,undefined K,Android 15,Chrome 134.0.6998.39,393x873,392x735,,,0,Dictator Game and Ultimatum Game Instructions,4,consent,M,5,6
